,,,,,,,,,,,S&P500,Nasdaq,Overnight Index Swap Rate (USD),VIX Index
time,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
2017/12/21,-0.037728195,-0.170031029,-0.050410127,0.176286073,-0.012237697,0.135642517,0.009448509,-0.113869863,-0.009623095,0.56774916,0.00199,0.00064,0.00532,-0.01029
2017/12/22,-0.130480607,-0.182429825,-0.125840257,-0.190533333,-0.166660333,0.024447031,-0.148201112,-0.107922705,-0.174089069,-0.107142857,-0.00045,-0.00077,0.00035,0.02911
2017/12/23,0.003393939,0.186443568,0.053530304,0.144951408,0.064773574,0.339772727,0.084016941,0.033900141,0.089215686,0.01,0.00000,0.00000,0.00000,0.00000
2017/12/24,-0.075138922,-0.064731897,-0.042129107,0.20212919,-0.035020844,-0.079728584,-0.041779592,-0.149277184,-0.04770477,-0.031485149,0.00000,0.00000,0.00000,0.00000
2017/12/25,0.074712644,-0.017588065,0.003157372,0.034346577,0.069876167,-0.075760369,-0.014803115,0.040265977,0.049149338,0.002351257,0.00000,0.00000,0.00000,0.00000
2017/12/26,0.03597472,0.069083315,0.139015534,0.085155617,0.041955914,0.024531312,0.042056597,0.07717803,0.00045045,0.091279959,-0.00101,-0.00340,0.00212,0.03535
2017/12/27,-0.033552323,-0.078234533,-0.021573237,-0.05714895,-0.017969953,-0.021413276,-0.05517192,-0.103736264,0.022062134,0.130841121,0.00086,0.00045,0.00141,0.02146
2017/12/28,-0.010924982,-0.079850113,-0.066028655,-0.067397942,-0.031421467,0.005172071,-0.053811489,0.102746444,-0.042290749,0.041322314,0.00202,0.00168,0.00492,-0.02770
2017/12/29,0.296759941,0.049815239,-0.000425733,0.118346065,0.031966401,-0.030674847,-0.026935084,-0.013231043,0.458141674,0.531746032,-0.00512,-0.00672,0.00140,0.08448
2017/12/30,0.116789703,-0.155398098,-0.129306302,-0.16816654,-0.063020552,0.126173949,-0.127750586,0.131267606,-0.025236593,-0.03626943,0.00000,0.00000,0.00000,0.00000
2017/12/31,0.203389831,0.074209488,0.105245014,0.163581856,0.069669115,0.086113125,0.068137879,-0.000996016,0.145631068,0.064516129,0.00000,0.00000,0.00000,0.00000
2018/01/01,-0.010985915,-0.023614551,-0.029278577,-0.026436653,0.021517126,0.201635787,-0.009623874,-0.013060818,0.367231638,0.035353535,0.00000,0.00000,0.00000,0.00000
2018/01/02,0.085160923,0.099922344,0.097379077,0.031066621,0.138334962,-0.076260592,0.12244807,0.057682594,0.148760331,0.068292683,0.00835,0.01506,0.00433,-0.11504
2018/01/03,0.443569554,0.004691098,0.027279819,0.028679835,0.091801339,0.021052632,-0.028513562,0.46800382,0.591366906,0.246575342,0.00640,0.00837,0.00334,-0.06346
2018/01/04,0.027272727,-0.084978547,0.001547839,0.042850944,0.003963447,0.427687776,-0.025875812,0.301236174,-0.214511754,0,0.00424,0.00190,0.00853,0.00765
2018/01/05,-0.10619469,0.018529738,0.116909792,0.314886092,0.020162357,-0.002578915,0.026059589,-0.158,-0.079136691,-0.080586081,0.00703,0.00829,0.00000,0.00000
2018/01/06,0.02970297,0.057430579,0.01282942,0.158227848,0.046146823,0.138690661,0.14073044,0.083135392,0.07359375,0.055776892,0.00000,0.00000,0.00000,0.00000
2018/01/07,-0.028846154,0.002876011,-0.054980404,0.161202186,0.108483081,0.143505904,-0.026351642,0.364035088,0.026051521,0.049056604,0.00000,0.00000,0.00000,0.00000
2018/01/08,-0.108910891,-0.051710585,-0.077149227,-0.134117647,0.016425856,0.092136616,-0.063777295,0.032154341,-0.129078014,-0.133093525,0.00168,0.00292,0.00083,0.03254
2018/01/09,-0.1,-0.010996884,-0.03389852,-0.110054348,0.134784484,-0.108363636,-0.032291052,0.001557632,-0.085667752,-0.145228216,0.00160,0.00087,0.00268,0.05882
2018/01/10,-0.041358025,0.203282679,0.031170474,-0.020610687,-0.031219944,-0.040783034,0.012437002,-0.205287714,-0.004275027,-0.053398058,-0.00110,-0.00140,0.00206,-0.02579
2018/01/11,-0.124275596,-0.146664426,-0.108008384,-0.127825409,-0.087806948,-0.142006803,-0.090606182,-0.127690802,-0.00411449,-0.01025641,0.00711,0.00815,0.00588,0.00611
2018/01/12,0.316176471,0.068496915,0.040060685,0.123324397,0.106826879,0.03468781,0.03893524,0.034212002,0.207113347,0.046632124,0.00675,0.00683,0.00551,0.02834
2018/01/13,-0.017877095,0.02466496,0.029038688,-0.024661893,0.098324386,0.051724138,0.095984704,-0.048264642,-0.020833333,-0.00990099,0.00000,0.00000,0.00000,0.00000
2018/01/14,-0.089874858,-0.054193079,-0.042440842,-0.08319739,-0.018440167,-0.086520947,-0.081724432,-0.122507123,-0.058358663,-0.085,0.00000,0.00000,0.00000,0.00000
2018/01/15,-0.0375,-0.05016419,-0.000487586,-0.134341637,-0.059427134,-0.133000997,-0.020982859,-0.120779221,-0.035022595,-0.092896175,0.00000,0.00000,0.00061,0.00000
2018/01/16,-0.207792208,-0.265343826,-0.172351339,-0.32672148,-0.178643768,-0.146159154,-0.207124067,-0.184638109,-0.280648938,-0.307228916,-0.00351,-0.00515,0.00250,0.14764
2018/01/17,0.023278689,-0.007271757,-0.010617337,0.164097084,-0.024346352,-0.041481481,0.023659306,0.153985507,0.095094164,0.139130435,0.00941,0.01033,0.00088,0.02144
2018/01/18,0.041332906,-0.020991537,0.001148468,-0.012588513,-0.011437606,0.031895462,0.014983263,0.083202512,0.044585987,0.198473282,-0.00153,-0.00030,0.00370,0.02603
2018/01/19,-0.009076923,0.03097968,0.030982004,0.034130146,0.024077712,0.109477124,0.006491127,0,0.016260163,-0.01910828,0.00441,0.00553,0.00302,-0.07774
2018/01/20,0.094240025,0.147212953,0.1095475,0.072942083,0.10906532,0.525527737,0.095750767,0.085507246,0.052,0.019480519,0.00000,0.00000,0.00000,0.00000
2018/01/21,-0.134506243,-0.121057986,-0.096528144,-0.164332735,-0.088144285,-0.272485921,-0.094693374,-0.159546061,-0.142015209,-0.127388535,0.00000,0.00000,0.00000,0.00000
2018/01/22,-0.069672131,-0.09526699,-0.063672247,-0.047550845,-0.047136089,-0.110803937,-0.059298485,0.003177125,0.05916242,-0.02189781,0.00808,0.00977,0.00134,-0.02130
2018/01/23,-0.013039648,0.005390367,0.004041788,-0.004511278,-0.015175463,-0.011192638,-0.008360272,0.148060174,0.012133891,0,0.00221,0.00705,0.00134,0.00635
2018/01/24,0.121228352,0.02503459,0.052567499,0.095317221,0.078529564,0.001509244,0.015006745,-0.049655172,0.175485738,0.014925373,-0.00056,-0.00606,0.00400,0.03333
2018/01/25,0.022292994,-0.014064562,-0.022149756,0.031995587,-0.014513364,-0.055129976,-0.008970596,0.028301887,0.069104976,-0.044117647,0.00061,-0.00052,0.00864,0.00959
2018/01/26,-0.023676012,-0.024741008,-0.006412924,-0.044367232,0.002112064,-0.063131313,-0.018550595,-0.033874382,0.031414474,-0.069230769,0.01186,0.01279,0.00158,-0.04318
2018/01/27,-0.008774729,0.025556663,0.032015814,0.032443015,0.057697076,0.102425876,0.028807287,0.015339664,-0.013713921,0.008264463,0.00000,0.00000,0.00000,0.00000
2018/01/28,0.033800097,0.071459562,0.026879389,0.030746309,0.110451906,-0.021490156,0.069282275,0.014388489,0.008892482,0.114754098,0.00000,0.00000,0.00000,0.00000
2018/01/29,-0.07986922,-0.058173025,-0.045360452,-0.08738502,-0.050033291,-0.086664913,-0.066138798,-0.029078014,-0.071474359,-0.066176471,-0.00667,-0.00523,-0.00026,0.24910
2018/01/30,-0.137055838,-0.108859809,-0.100293307,-0.135205184,-0.090780881,-0.134197264,-0.083513439,-0.181154127,-0.168277528,-0.125984252,-0.01083,-0.00850,0.00263,0.06864
2018/01/31,-0.005490196,0.012523613,0.011833078,-0.010656011,0.044709753,0.036587394,-0.014814367,0.110615522,0.101680847,0.027027027,0.00052,0.00125,0.00098,-0.08452
2018/02/01,-0.168572555,-0.147894366,-0.108746966,-0.150117805,-0.07659429,-0.171185625,-0.132326766,-0.196787149,-0.14183462,-0.166403509,-0.00046,-0.00345,0.00649,-0.00517
2018/02/02,-0.040313019,-0.061078382,-0.026758913,-0.111089109,-0.105945293,-0.043360434,-0.072151093,-0.0623,-0.089113257,-0.054088183,-0.02115,-0.01961,-0.00156,0.28508
2018/02/03,0.146528293,0.074027161,0.042887805,0.145021163,0.058203538,0.047551599,0.227414805,0.126159753,0.070843373,0.06741573,0.00000,0.00000,0.00000,0.00000
2018/02/04,-0.176724138,-0.096283916,-0.111684126,-0.157587549,-0.147578976,-0.178674908,-0.083540373,-0.100284091,-0.135913591,-0.148931735,0.00000,0.00000,0.00000,0.00000
2018/02/05,-0.170157068,-0.236021087,-0.155872744,-0.190300231,-0.160115516,-0.198259643,-0.152558455,-0.242816546,-0.158854167,-0.166666667,-0.04098,-0.03774,-0.00913,1.15598
2018/02/06,0.132492114,0.093653846,0.1101573,0.266115231,0.129380791,0.237312995,0.13443698,0.239922157,0.117956656,0.119617928,0.01755,0.02145,0.00592,-0.19668
2018/02/07,-0.077994429,-0.013591369,-0.014092517,-0.034692498,-0.042292455,-0.106922712,-0.028269299,0.049775785,-0.070617557,-0.060637879,-0.00498,-0.00894,0.00524,-0.07505
2018/02/08,0.041993958,0.34177109,0.08797506,0.066511085,0.082121813,0.06981683,0.089524086,0.184322939,0.051847437,0.091239346,-0.03739,-0.03896,0.00391,0.20664
2018/02/09,0.098869237,0.016099032,0.052797042,0.092560175,0.079073198,0.07617866,0.091357038,0.11361587,0.110481586,0.178104994,0.01526,0.01468,0.00324,-0.13150
2018/02/10,0.005277045,-0.043009429,-0.014665114,0.001401963,-0.030903996,-0.04357851,-0.054850519,-0.068016194,-0.010204082,0.119443539,0.00000,0.00000,0.00000,0.00000
2018/02/11,-0.084514436,-0.027968431,-0.056560112,-0.015,-0.046441375,0.0024108,-0.037763863,0.030408341,-0.066237113,-0.067281553,0.00000,0.00000,0.00000,0.00000
2018/02/12,0.063646789,0.06172176,0.102251067,0.124060914,0.066601745,0.182539683,0.082785456,0.035413153,0.061275186,0.082543978,0.01395,0.01565,0.00200,-0.11872
2018/02/13,-0.035579515,-0.047784068,-0.041136673,0.024566474,-0.028072162,0.178157413,-0.012639405,-0.053745928,0.035110533,-0.051346154,0.00267,0.00452,0.00252,-0.02499
2018/02/14,0.098378983,0.110889389,0.110121023,0.179301834,0.094092606,-0.023303988,0.330384036,0.06626506,0.125879397,0.145347659,0.01369,0.01901,0.00837,-0.22867
2018/02/15,-0.007633588,0.000831898,0.057783133,0.087008521,0.00852072,-0.009544008,0.042781001,0.08393866,-0.016737335,-0.017699115,0.01231,0.01582,0.00944,-0.00675
2018/02/16,0,0.125762246,0.01544587,-0.029844588,0.010851878,0.139543183,0.033064954,0.000744602,0.014525647,0,0.00046,-0.00232,0.00171,0.01725
2018/02/17,0.051282051,0.010062466,0.089165185,0.006662886,0.039178269,0.053398058,0.004466045,0.030505952,0.070246085,0.063063063,0.00000,0.00000,0.00000,0.00000
2018/02/18,-0.12195122,-0.061274129,-0.061274861,-0.083227714,-0.0624455,0.108369258,-0.06621333,-0.106137184,-0.091346154,-0.093220339,0.00000,0.00000,0.00000,0.00000
2018/02/19,0.041666667,0.053407024,0.073440828,0.026574501,0.028329139,0.037419528,0.036177761,0.01453958,0.019093628,0.037383178,0.00000,0.00000,-0.00095,0.00000
2018/02/20,-0.077333333,-0.086156141,0.006631027,0.108484214,-0.057746943,-0.109631545,0.03338289,-0.112261146,-0.120316027,-0.072072072,-0.00577,-0.00069,0.00373,0.05858
2018/02/21,-0.038150289,-0.078644446,-0.068829105,-0.075728942,-0.051291896,-0.047480761,-0.083355131,0.000896861,-0.039004362,-0.076504854,-0.00548,-0.00219,0.00013,-0.02816
2018/02/22,-0.068509615,-0.063454695,-0.060457981,-0.081641595,-0.042221164,-0.08445122,-0.082516884,-0.027777778,-0.073164219,-0.06391926,0.00106,-0.00110,0.00875,-0.06494
2018/02/23,0.04483871,0.044234646,0.033260696,0.081583969,0.062227359,0.122544123,0.070965735,0.031336406,0.056179775,0.055929919,0.01609,0.01768,0.00187,-0.11912
